turn,prompt_tokens,completion_tokens,latency_s
1,20830,2510,64.87
2,24901,481,17.46
3,24693,1197,39.94
4,27160,1901,50.92
5,28869,1524,43.19
6,29666,1161,42.78
7,31429,1419,50.30
8,32851,1258,72.54
9,34804,1313,80.30
10,36773,1736,51.49
11,38557,1293,39.01
12,39258,1232,46.45
13,40423,1383,47.82
14,42492,1394,42.88
15,42440,1238,37.59
16,44241,1179,38.93
17,45568,1771,51.93
18,47639,1552,117.74
19,49082,1282,38.61
20,49774,1419,40.68
21,53575,1337,64.77
22,53727,1670,47.69
23,54961,1044,65.66
24,56181,1317,113.04
25,58118,1131,37.68
26,58686,1877,57.19
27,60108,1883,56.08
28,62445,612,22.55
29,62066,271,23.62
30,63527,2471,60.59
